Aisle Name,Items Bought,Items Browsed,Items Ignored
Aisle,146,1,0
Aisle (1),106,0,0
Aisle (2),114,0,0
Aisle (3),151,0,0
Aisle (39),219,0,0
Aisle (4),208,0,0
Aisle (5),137,0,0
Aisle (6),135,0,0
Aisle (7),289,0,0
Aisle (8),121,0,0
Aisle (9),1283,0,0
Aisle (10),1351,0,0
Aisle (11),1245,0,0
Aisle (12),128,0,0
Aisle (13),160,0,0
Aisle (14),189,0,0
Aisle (15),175,0,0
Aisle (16),184,0,0
Aisle (17),207,0,0
Aisle (18),223,1,0
Aisle (19),216,0,0
Aisle (20),289,1,1
Aisle (21),256,0,0
Aisle (22),241,0,0
Aisle (23),385,0,0
Aisle (24),318,0,0
Aisle (25),338,0,0
Aisle (26),319,0,0
Aisle (27),450,0,0
Aisle (28),555,0,0
Aisle (29),472,0,0
Aisle (30),540,0,0
Aisle (31),556,0,0
Aisle (32),592,0,0
Aisle (33),508,1,0
Aisle (34),656,0,0
Aisle (35),574,0,0
Aisle (36),811,0,0
Aisle (43),529,0,0
Aisle (44),764,1,0
Aisle (37),457,0,0
Aisle (38),466,0,0
Aisle (40),353,0,0
Aisle (41),310,0,0
Aisle (42),223,0,0
